Tooth #,CH (µm),FABL (µm),BW (µm),PDM (dt/mm),ADM (µm),
,Crown Height,Fore Aft Basal Length,Basal Width,Posterior denticles per millimeter,Posterior denticles per millimeter,
Average,,,,,,
HRS90045,2870,2120,680,3.8,,
HRS90046,2890,2050,780,3.6,,
HRS90047,3820,2350,780,2.6,,
HRS90048,,1900,730,3.5,,
HRS90049,2990,2190,710,3.1,,
HRS90050,2980,2300,710,3.3,,
HRS90051,2870,2400,580,3.5,,
HRS90052,3510,2580,680,3,,
HRS90053,2700,2350,740,3.1,,
HRS90054,3880,2750,950,3,,
HRS90267,4200,3140,880,2.9,,
HRS90268,3080,2620,800,3,,
HRS90269,4100,2240,910,4.4,10,
HRS90270,4310,2900,1040,1.9,,
HRS90306,3290,2150,640,3.4,,
HRS90307,3480,1920,820,3,,
HRS90308,4000,2500,750,2.7,,
HRS90327,3400,2350,800,3.2,,
HRS90328,2570,2160,570,3.8,,
HRS90329,4220,2760,950,2.7,,
HRS90338,2870,1910,760,2.8,,
